ADMINNAME	NAME	ABBREVIATI	LXX	latitude	longtitude
市中区	六里山南路社区	六里山南路社区	行政村	36.6286341772	116.99619586
天桥区	双井社区	双井社区	行政村	36.6767690893	117.001511978
天桥区	天桥东社区	天桥东社区	行政村	36.6760924907	116.991247841
历下区	菜市新村社区	菜市新村社区	行政村	36.6807070884	117.026420503
历下区	千佛山西路社区	千佛山西路社区	行政村	36.6414471638	117.020922428
历下区	棋盘街社区	棋盘街社区	行政村	36.6573086461	117.026183531
历下区	长盛北区社区	长盛北区社区	行政村	36.676878008	117.03316557
历下区	燕北社区	燕北社区	行政村	36.6618485785	117.055694967
历下区	解放路社区	解放路社区	行政村	36.6658328728	117.040387389
历城区	小辛社区	小辛社区	行政村	36.7138427611	117.082153833
天桥区	东区社区	东区社区	行政村	36.6847817223	116.995937027
天桥区	新鹤社区	新鹤社区	行政村	36.6830777175	117.01885194
天桥区	柳行社区	柳行社区	行政村	36.6829831897	117.036955164
历城区	海蔚社区	海蔚社区	行政村	36.6851743123	117.055637199
历城区	钢城新苑西区社区	钢城新苑西区社区	行政村	36.7116792072	117.175208044
历下区	姚家村	姚家村	行政村	36.6656657338	117.074714908
市中区	乐山小区社区	乐山小区社区	行政村	36.6543833988	116.994416502
市中区	自由大街社区	自由大街社区	行政村	36.6503539234	117.001053881
天桥区	仁丰社区	仁丰社区	行政村	36.6770837216	116.999721791
天桥区	火车站社区	火车站社区	行政村	36.6702978305	116.990494597
历下区	盛福花园社区	盛福花园社区	行政村	36.7027587401	117.111074108
历下区	趵突泉社区	趵突泉社区	行政村	36.6582226478	117.013738208
天桥区	南区社区	南区社区	行政村	36.6898524597	116.988027791
历下区	银座花园社区	银座花园社区	行政村	36.6472316472	117.091823129
天桥区	枫景园社区	枫景园社区	行政村	36.6912236354	117.037875306
天桥区	朝阳街社区	朝阳街社区	行政村	36.6684031109	117.004198621
天桥区	康桥社区	康桥社区	行政村	36.6809884206	117.005059213
天桥区	茂新街社区	茂新街社区	行政村	36.6716293199	116.996101117
历下区	窑头村	窑头村	行政村	36.647355536	117.065475609
历下区	三箭平安苑社区	三箭平安苑社区	行政村	36.6633845818	117.091639252
天桥区	云锦社区	云锦社区	行政村	36.6946587371	117.012741513
天桥区	清河社区	清河社区	行政村	36.6895563993	117.013183282
天桥区	舜清苑社区	舜清苑社区	行政村	36.6997093261	117.009351489
天桥区	石桥社区	石桥社区	行政村	36.6960842741	117.038242907
历城区	电建一公司社区	电建一公司社区	行政村	36.7046576973	117.066815081
历城区	南全福社区	南全福社区	行政村	36.6950784669	117.055822797
历下区	科院路社区	科院路社区	行政村	36.6456510402	117.038746299
历下区	鞭指巷社区	鞭指巷社区	行政村	36.6660408059	117.013390797
市中区	馆驿街社区	馆驿街社区	行政村	36.6671343654	116.997818757
历城区	保利花园社区	保利花园社区	行政村	36.6754646587	117.196982915
天桥区	济安社区	济安社区	行政村	36.6757195679	117.00344444
历城区	济钢鑫苑社区	济钢鑫苑社区	行政村	36.706206811	117.140581988
市中区	陈庄社区	陈庄社区	行政村	36.6339542715	116.98821667
市中区	梁北社区	梁北社区	行政村	36.6395989868	116.987871485
市中区	信义庄社区	信义庄社区	行政村	36.6456555377	116.986978095
市中区	普利街社区	普利街社区	行政村	36.6647300459	117.004753065
历城区	金河社区	金河社区	行政村	36.7022848217	117.174832863
历下区	千佛山社区	千佛山社区	行政村	36.6548628975	117.022873865
历下区	燕文社区	燕文社区	行政村	36.6514347178	117.056025494
历下区	全运村社区	全运村社区	行政村	36.6430625197	117.120527519
历下区	青年东路社区	青年东路社区	行政村	36.6522680234	117.017837145
天桥区	永和社区	永和社区	行政村	36.6734180454	116.995150326
市中区	六里山路社区	六里山路社区	行政村	36.6316015704	116.993602728
历城区	七里河社区	七里河社区	行政村	36.6807703215	117.071657602
历城区	新园社区	新园社区	行政村	36.7021387367	117.093289651
历城区	靳家庄	靳家庄	行政村	36.7112252906	117.128862409
历城区	山大社区	山大社区	行政村	36.6711823542	117.053433641
历下区	历山东路社区	历山东路社区	行政村	36.6713530482	117.049252558
历下区	贡院墙根社区	贡院墙根社区	行政村	36.6686671312	117.016793784
历下区	现代逸城社区	现代逸城社区	行政村	36.6610830944	117.085025561
历下区	济炼社区	济炼社区	行政村	36.6952520046	117.15168787
历下区	长盛南区社区	长盛南区社区	行政村	36.6748321907	117.036593412
市中区	经二路社区	经二路社区	行政村	36.6639522483	116.987168127
市中区	德胜街社区	德胜街社区	行政村	36.6556332253	116.999959704
历城区	龙信社区	龙信社区	行政村	36.6816422475	117.0825573
历城区	化纤社区	化纤社区	行政村	36.6908063095	117.083062542
天桥区	刘家庄社区	刘家庄社区	行政村	36.6707371358	117.00231165
天桥区	黄台西区社区	黄台西区社区	行政村	36.7061709856	117.045102975
天桥区	沃家社区	沃家社区	行政村	36.6914429252	117.037877256
天桥区	联四社区	联四社区	行政村	36.6920436111	117.007306639
天桥区	凤凰山社区	凤凰山社区	行政村	36.6953233109	116.996217312
天桥区	板桥社区	板桥社区	行政村	36.6988988121	117.043984091
天桥区	新城社区	新城社区	行政村	36.7077082804	117.005120633
历城区	甸柳社区	甸柳社区	行政村	36.6691763228	117.064600907
历城区	色峪村	色峪村	行政村	36.6354059445	117.206466532
历城区	七里堡社区	七里堡社区	行政村	36.6897171999	117.063677702
历城区	鑫达社区	鑫达社区	行政村	36.6893658465	117.060895897
天桥区	霞侣市社区	霞侣市社区	行政村	36.6828765967	117.033730818
天桥区	荷香村社区	荷香村社区	行政村	36.6896113991	117.012894696
历下区	佛山苑社区	佛山苑社区	行政村	36.6577549346	117.023142065
天桥区	生产路社区	生产路社区	行政村	36.6784015171	117.0098095
天桥区	华黎社区	华黎社区	行政村	36.6758594961	117.008491687
天桥区	北区社区	北区社区	行政村	36.6942339154	116.98697649
历城区	航运路社区	航运路社区	行政村	36.6974577466	117.043968776
天桥区	北村东区社区	北村东区社区	行政村	36.6983072363	116.987971821
市中区	科技街社区	科技街社区	行政村	36.6505587782	117.006255207
历下区	朝山街社区	朝山街社区	行政村	36.6540164763	117.02029741
历下区	千佛山东路社区	千佛山东路社区	行政村	36.6439438382	117.037728078
历城区	韩仓一村	韩仓一村	行政村	36.7141493382	117.184517603
天桥区	启盛街社区	启盛街社区	行政村	36.6739556871	117.007179819
天桥区	陈家楼社区	陈家楼社区	行政村	36.6758656574	116.998265164
市中区	七东社区	七东社区	行政村	36.6282313808	116.992415302
市中区	七西社区	七西社区	行政村	36.6280469415	116.990663701
历城区	桑园南社区	桑园南社区	行政村	36.693363467	117.057525442
历下区	山师大社区	山师大社区	行政村	36.6574962483	117.035931146
历下区	林家庄	林家庄	行政村	36.6665537433	117.162186553
历下区	历园新村社区	历园新村社区	行政村	36.6827250861	117.044656901
历城区	辛甸社区	辛甸社区	行政村	36.6899077959	117.077967777
历城区	富泉社区	富泉社区	行政村	36.6897822721	117.073382844
历下区	羊头峪社区	羊头峪社区	行政村	36.6438145616	117.046760116
历下区	环山路社区	环山路社区	行政村	36.6395760973	117.043521886
历下区	燕南社区	燕南社区	行政村	36.6572495624	117.053622382
历下区	县东巷社区	县东巷社区	行政村	36.6677982809	117.025655276
天桥区	铜元局后街社区	铜元局后街社区	行政村	36.6707373687	117.007228697
天桥区	制革街社区	制革街社区	行政村	36.6818623278	116.987131391
天桥区	官扎营中街社区	官扎营中街社区	行政村	36.6720929187	116.988346065
历城区	农科院社区	农科院社区	行政村	36.7033894122	117.075943531
历城区	新卉社区	新卉社区	行政村	36.7145085625	117.079049412
历城区	洪北社区	洪北社区	行政村	36.6810183069	117.062845544
市中区	人民商场社区	人民商场社区	行政村	36.6651374783	116.999163864
历城区	中新国际城东社区	中新国际城东社区	行政村	36.6974079907	117.197686991
历下区	按察司街社区	按察司街社区	行政村	36.669562427	117.026978002
天桥区	南徐社区	南徐社区	行政村	36.7114043241	117.023095324
天桥区	滨河左岸社区	滨河左岸社区	行政村	36.7092521861	117.026544646
历城区	保利社区	保利社区	行政村	36.6956242915	117.07423521
历城区	葡萄园社区	葡萄园社区	行政村	36.67424608	117.069303411
历下区	友谊苑社区	友谊苑社区	行政村	36.6581612483	117.077625286
历城区	贤德社区	贤德社区	行政村	36.7138020057	117.182023313
天桥区	锦绣华府社区	锦绣华府社区	行政村	36.6806248921	117.001242567
历下区	绿景嘉园社区	绿景嘉园社区	行政村	36.672875577	117.042273285
历下区	甸柳新村街道第三社区	甸柳新村街道第三社区	行政村	36.6602043354	117.062541372
天桥区	金凤苑社区	金凤苑社区	行政村	36.6953227578	116.996263085
历城区	还乡店村	还乡店村	行政村	36.7146230399	117.070703284
历下区	环保科技园社区	环保科技园社区	行政村	36.684101396	117.106042556
历下区	益寿路社区	益寿路社区	行政村	36.6663935794	117.052223579
天桥区	明湖东社区	明湖东社区	行政村	36.6830472871	117.034161288
天桥区	鲁丰社区	鲁丰社区	行政村	36.697015799	117.0009378
天桥区	东泺河社区	东泺河社区	行政村	36.6968194914	117.036235996
历城区	翡翠外滩社区	翡翠外滩社区	行政村	36.7099114171	117.051997417
市中区	二七新村街道	二七新村街道	街道级地名	36.6292743443	116.992815296
天桥区	南徐庄	南徐庄	自然村	36.7125406004	117.024037879
历下区	\	\	统计村	36.681956333	117.087922112
天桥区	\	\	统计村	36.704104009	117.051650547
天桥区	北园街道	北园街道	街道级地名	36.6954211895	117.032601609
天桥区	边庄社区	边庄社区	行政村	36.6880517562	117.017566048
历下区	清华园社区	清华园社区	行政村	36.6381859306	117.051097811
历下区	徐家村	徐家村	自然村	36.6924359422	117.140663746
天桥区	\	\	统计村	36.6999476384	117.046185455
历城区	\	\	统计村	36.7158189449	117.07960272
历下区	\	\	统计村	36.6913643001	117.045369656
历下区	\	\	统计村	36.7066396853	117.111135925
历城区	\	\	统计村	36.7116670988	117.027542341
历城区	\	\	统计村	36.7108141565	117.02913134
历城区	\	\	统计村	36.7114058943	117.048728419
历下区	理想家园社区	理想家园社区	行政村	36.6924359422	117.140663746
历下区	贤文村	贤文村	自然村	36.684101396	117.106042556
历城区	钢城新苑东区	钢城新苑东区	自然村	36.7138020057	117.182023313
历城区	东风	东风	自然村	36.6815372346	117.085274957
历城区	鲍德社区	鲍德社区	行政村	36.7128945555	117.172749062
历城区	鲍山街道	鲍山街道	街道级地名	36.716088371	117.183993651
历下区	曲水亭街社区	曲水亭街社区	行政村	36.669127915	117.018702678
历下区	解放东路社区	解放东路社区	行政村	36.6664484839	117.072755484
天桥区	石桥东社区	石桥东社区	行政村	36.6960757602	117.038035996
天桥区	水园社区	水园社区	行政村	36.699087132	117.016611567
历下区	历山社区	历山社区	行政村	36.6736121308	117.039850224
天桥区	明园社区	明园社区	行政村	36.6925778669	117.007525905
历城区	殷家小庄社区	殷家小庄社区	行政村	36.6840643529	117.065031595
历城区	百花公园社区	百花公园社区	行政村	36.6732280762	117.060738229
历下区	后坡街社区	后坡街社区	行政村	36.6669341961	117.034823134
天桥区	东太平庄	东太平庄	自然村	36.6842425365	117.037596821
天桥区	西义和庄	西义和庄	自然村	36.675912048	116.992972405
天桥区	荷香村	荷香村	自然村	36.6829498312	117.005155103
天桥区	刘家井庄	刘家井庄	自然村	36.6835143473	117.023013933
天桥区	清河村	清河村	自然村	36.6855708117	117.012348441
天桥区	张家村	张家村	自然村	36.6864728129	117.037411035
天桥区	贾家庄	贾家庄	自然村	36.6917599335	117.005127067
天桥区	段家圈	段家圈	自然村	36.6919212224	117.009644973
天桥区	臧家屯	臧家屯	自然村	36.6968629629	117.00673888
天桥区	石桥	石桥	自然村	36.6974258269	117.039579046
天桥区	板桥庄	板桥庄	自然村	36.7045432568	117.040928056
天桥区	魏家庄	魏家庄	自然村	36.7082735196	117.041788683
天桥区	新城庄	新城庄	自然村	36.7094153079	117.006418763
天桥区	北徐庄	北徐庄	自然村	36.7153074645	117.022655667
历下区	东小杨家庄	东小杨家庄	自然村	36.6807310004	117.034116277
历城区	甸柳庄	甸柳庄	自然村	36.6692038331	117.06280724
天桥区	南刘家庄	南刘家庄	自然村	36.6701270043	116.99844787
历下区	小园庄	小园庄	自然村	36.6792273223	117.031976931
历下区	花园庄	花园庄	自然村	36.6798873851	117.04279799
天桥区	大柳行头	大柳行头	自然村	36.6827722816	117.038125705
历下区	下井庄	下井庄	自然村	36.6501595547	117.091278948
历下区	石河岭	石河岭	自然村	36.667838164	117.110793837
历城区	东周	东周	自然村	36.7163648136	117.136501769
市中区	区机关二宿舍家属居委会	区机关二宿舍家属居委会	自然村	36.63169191	116.993603107
天桥区	北垣	北垣	自然村	36.6738987231	117.003525886
天桥区	河套庄	河套庄	自然村	36.6765750651	117.007417714
天桥区	三孔桥庄	三孔桥庄	自然村	36.6786140746	117.0026553
天桥区	邵家庄	邵家庄	自然村	36.6842122509	117.029914377
天桥区	刘家桥	刘家桥	自然村	36.6883941047	117.011592205
天桥区	姜家庄	姜家庄	自然村	36.6948159431	117.003584829
天桥区	黄台	黄台	自然村	36.7113696435	117.040690371
天桥区	狮子张庄	狮子张庄	自然村	36.7134493824	117.028751187
市中区	\	\	统计村	36.652132447	117.005287198
历城区	永大颐和园社区	永大颐和园社区	自然村	36.6784556275	117.197924658
历下区	姚家庄村	姚家庄村	自然村	36.6636636055	117.085474242
历下区	十里河村	十里河村	自然村	36.6907718951	117.088808056
历城区	靳家村	靳家村	自然村	36.7115518416	117.128990524
历城区	小辛庄	小辛庄	自然村	36.7163145055	117.079580538
天桥区	标山中路社区	标山中路社区	行政村	36.6998867777	116.991738187
天桥区	意福苑社区	意福苑社区	行政村	36.6996230721	116.994771825
历城区	锦绣天地西社区	锦绣天地西社区	行政村	36.6976253856	117.188628818
历下区	东关街道	东关街道	街道级地名	36.6787762358	117.027159113
天桥区	水屯社区	水屯社区	行政村	36.6991015598	117.016809277
历下区	甸柳新村街道第五社区	甸柳新村街道第五社区	行政村	36.6570872411	117.060552997
历下区	甸北社区	甸北社区	行政村	36.6679825025	117.06306411
历城区	小汉峪村	小汉峪村	行政村	36.6459538203	117.164265127
历下区	建达南苑社区	建达南苑社区	行政村	36.6613942122	117.040354441
历城区	花园北区社区	花园北区社区	行政村	36.6888961845	117.051570011
历城区	南胡村	南胡村	行政村	36.6500561417	117.150465595
历城区	胥家庄村	胥家庄村	行政村	36.7101341135	117.184637135
历城区	北胡社区	北胡社区	行政村	36.6584611785	117.145500716
历下区	舜井社区	舜井社区	行政村	36.6711601643	117.027533515
历城区	殷陈庄	殷陈庄	行政村	36.7113312308	117.158992396
历下区	甸南社区	甸南社区	行政村	36.6630560613	117.063823836
历下区	临湖社区	临湖社区	行政村	36.6677677777	117.011192229
历城区	建大花园社区	建大花园社区	行政村	36.6828654325	117.169527784
天桥区	聚贤社区	聚贤社区	行政村	36.669256671	117.002420963
天桥区	泉星社区	泉星社区	行政村	36.6864062549	116.99103913
历城区	利农社区	利农社区	行政村	36.6721709348	117.051174746
历下区	甸柳新村街道第四社区	甸柳新村街道第四社区	行政村	36.6602989611	117.062543441
历下区	甸柳新村街道第一社区	甸柳新村街道第一社区	行政村	36.6627070398	117.064774297
历下区	孟家庄	孟家庄	行政村	36.6325188222	117.114913572
历下区	中井庄	中井庄	行政村	36.6357939247	117.08821487
历下区	文化东路社区	文化东路社区	行政村	36.6536779211	117.043065656
历城区	涵玉翠岭社区	涵玉翠岭社区	行政村	36.6429038496	117.14852485
历下区	白鹭社区	白鹭社区	行政村	36.6915137468	117.127240732
天桥区	板桥东苑社区	板桥东苑社区	行政村	36.7010011123	117.046066403
历城区	钢城新苑东区社区	钢城新苑东区社区	行政村	36.7114806801	117.181865869
历城区	朝山社区	朝山社区	行政村	36.7158851979	117.145779062
天桥区	北徐花园社区	北徐花园社区	行政村	36.7140168402	117.024429063
天桥区	北关社区	北关社区	行政村	36.6805695982	117.010393642
天桥区	滨河社区	滨河社区	行政村	36.7078952728	116.993797897
历城区	和顺社区	和顺社区	行政村	36.7150465343	117.178983435
天桥区	鼎舜赵苑社区	鼎舜赵苑社区	行政村	36.716168729	117.00607445
市中区	舜玉社区	舜玉社区	自然村	36.6285796549	117.007732258
历下区	辛河翡翠社区	辛河翡翠社区	行政村	36.6874263739	117.097847011
历下区	浆水泉路社区	浆水泉路社区	行政村	36.6450879566	117.075021965
历下区	浆水泉西路社区	浆水泉西路社区	行政村	36.6402606855	117.067999942
市中区	陈南社区	陈南社区	自然村	36.6276112281	116.988432156
历城区	名辉豪庭社区	名辉豪庭社区	行政村	36.7001639046	117.069211258
历下区	名士豪庭第二社区	名士豪庭第二社区	行政村	36.6479808832	117.082011481
天桥区	金水岸社区	金水岸社区	行政村	36.706255574	117.007991097
市中区	铁路第一社区	铁路第一社区	行政村	36.637491216	116.989223679
历下区	齐鲁软件园社区	齐鲁软件园社区	行政村	36.6800764262	117.129653987
历城区	锦绣澜湾社区	锦绣澜湾社区	行政村	36.7037274152	117.054841918
历下区	东仓社区	东仓社区	行政村	36.6740695422	117.034201151
历城区	舜奥社区	舜奥社区	行政村	36.653595277	117.142825188
历城区	舜达社区	舜达社区	行政村	36.6596934467	117.141422017
历城区	舜发社区	舜发社区	行政村	36.6530464963	117.148261653
历下区	舜耕路社区	舜耕路社区	行政村	36.6411246849	117.012595209
历下区	舜泺社区	舜泺社区	行政村	36.6742653866	117.114604134
历城区	舜宁社区	舜宁社区	行政村	36.6526419021	117.131899574
历城区	舜旺社区	舜旺社区	行政村	36.6433020757	117.135990205
历城区	舜信社区	舜信社区	行政村	36.6482527447	117.138400711
历城区	舜兴社区	舜兴社区	行政村	36.6407374341	117.158880552
历下区	舜义社区	舜义社区	行政村	36.6611973892	117.119726939
历城区	舜智社区	舜智社区	行政村	36.6347161133	117.13278233
历下区	荆山路社区	荆山路社区	行政村	36.6444436634	117.068088148
历城区	景和山庄社区	景和山庄社区	行政村	36.6792069616	117.195666005
天桥区	黄桥社区	黄桥社区	行政村	36.6919291175	117.028696915
天桥区	北徐社区	北徐社区	行政村	36.7136355187	117.02005528
天桥区	紫金山社区	紫金山社区	行政村	36.7008940534	116.997000501
历下区	茂岭山社区	茂岭山社区	行政村	36.6714106983	117.099245381
历城区	清河新居社区	清河新居社区	行政村	36.7011267188	117.052073397
历下区	未来城社区	未来城社区	行政村	36.692631685	117.1320706
历下区	林景苑社区	林景苑社区	行政村	36.6646972961	117.165454028
历下区	化纤厂路社区	化纤厂路社区	行政村	36.6842144039	117.094255596
历下区	芙蓉街社区	芙蓉街社区	行政村	36.6669290636	117.017558795
历下区	中海紫御东郡社区	中海紫御东郡社区	行政村	36.6991798116	117.105626701
历下区	万豪社区	万豪社区	行政村	36.6534066721	117.041552353
历下区	历山吉第社区	历山吉第社区	行政村	36.6898246959	117.044818239
历下区	龙奥国际社区	龙奥国际社区	行政村	36.6488252918	117.128000757
历下区	盛福百合社区	盛福百合社区	行政村	36.7022905144	117.105347
历下区	盛福明城社区	盛福明城社区	行政村	36.7032721433	117.10136381
历下区	盛景家园社区	盛景家园社区	行政村	36.6962014593	117.107476663
历下区	兴港南社区	兴港南社区	行政村	36.6729123314	117.157221139
历下区	会展中心社区	会展中心社区	行政村	36.687398262	117.121528442
历下区	兴港北社区	兴港北社区	行政村	36.6761042115	117.156785792
历下区	文恒社区	文恒社区	行政村	36.6575588968	117.048726091
历下区	西江华府社区	西江华府社区	行政村	36.6266763873	117.098336302
天桥区	绿地社区	绿地社区	行政村	36.6923628066	116.991986918
历下区	蓝天苑社区	蓝天苑社区	行政村	36.6386466398	117.074573333
历下区	历山路社区	历山路社区	行政村	36.6589508432	117.033891734
历下区	华能嘉苑社区	华能嘉苑社区	行政村	36.6868305065	117.085585041
历下区	黄金时代社区	黄金时代社区	行政村	36.6679751218	117.126019204
历下区	名士豪庭社区	名士豪庭社区	行政村	36.6523057562	117.081898294
历下区	泺河社区	泺河社区	行政村	36.6811393277	117.031640645
市中区	饮虎池街社区	饮虎池街社区	行政村	36.6618086683	117.009312236
历城区	世纪园社区	世纪园社区	行政村	36.6865923867	117.073406738
天桥区	官扎营后街社区	官扎营后街社区	行政村	36.6721087287	116.988514547
历城区	区直东社区	区直东社区	行政村	36.6812537449	117.057609632
历城区	东周家庄村	东周家庄村	行政村	36.714545289	117.129054054
天桥区	柳云社区	柳云社区	行政村	36.697887574	117.014667835
历城区	花园南区社区	花园南区社区	行政村	36.684073115	117.052005476
市中区	舜函社区	舜函社区	行政村	36.6291512343	117.006209794
历下区	山师东路社区	山师东路社区	行政村	36.6593352476	117.038926381
历城区	韩仓二村	韩仓二村	行政村	36.7101099622	117.18717558
天桥区	馆驿街西社区	馆驿街西社区	行政村	36.6703099399	116.999330913
天桥区	成大社区	成大社区	行政村	36.6972939324	117.009780889
历下区	县西巷社区	县西巷社区	行政村	36.6710647157	117.023767017
市中区	纬一路社区	纬一路社区	行政村	36.6604189981	116.993492643
历下区	石河岭村	石河岭村	行政村	36.6605625587	117.114706845
天桥区	制锦市街社区	制锦市街社区	行政村	36.6687311926	117.007135233
历下区	建达北苑社区	建达北苑社区	行政村	36.6619565951	117.038852596
历下区	趵突泉街道	趵突泉街道	街道级地名	36.6592659	117.011977049
历城区	东风街道	东风街道	街道级地名	36.6880968167	117.075579971
天桥区	北坦街道	北坦街道	街道级地名	36.6756594878	117.003408744
市中区	二七新村	二七新村	自然村	36.6376948387	116.987061695
天桥区	沃家庄	沃家庄	自然村	36.6851555165	117.033457949
历下区	建筑新村街道	建筑新村街道	街道级地名	36.6628323585	117.049334845
历城区	花园中区社区	花园中区社区	行政村	36.6880940261	117.052856247
历下区	车站北街	车站北街	自然村	36.6894188525	117.0435453
天桥区	标山庄	标山庄	自然村	36.6969307547	116.993166389
历城区	\	\	统计村	36.7094749518	117.065837441
历下区	\	\	统计村	36.6850853541	117.084277287
历城区	华能社区	华能社区	行政村	36.6815372346	117.085274957
历下区	下井村	下井村	自然村	36.6442542725	117.089176619
天桥区	小柳行头	小柳行头	自然村	36.6825941691	117.036036335
天桥区	汇源华庭社区	汇源华庭社区	行政村	36.7144894816	117.031601494
天桥区	汇源华庭第二社区	汇源华庭第二社区	行政村	36.7144894816	117.031601494
天桥区	狮子张社区	狮子张社区	行政村	36.7144894816	117.031601494
历下区	\	\	统计村	36.6557734278	117.07651757
历下区	\	\	统计村	36.6626465028	117.038663402
历下区	荆山庄村	荆山庄村	自然村	36.6418199489	117.076002435
历下区	仁合庄	仁合庄	自然村	36.6418045615	117.071673815
历下区	雅居园社区	雅居园社区	行政村	36.669643071	117.120564522
历下区	兴港悦城社区	兴港悦城社区	行政村	36.6732915836	117.160930422
历下区	辅仁社区	辅仁社区	行政村	36.6404376766	117.086611287
历下区	风华社区	风华社区	行政村	36.6722211368	117.141519899
历下区	旅游路南社区	旅游路南社区	行政村	36.6366481151	117.076559185
历下区	新东方花园社区	新东方花园社区	行政村	36.6922662608	117.120240838
历下区	万科城社区	万科城社区	行政村	36.6844574277	117.100354721
历城区	赵家庄村	赵家庄村	行政村	36.7045848756	117.142408875
天桥区	梁府社区	梁府社区	行政村	36.6919255202	117.02850288
